run_id,seed,model,persona,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
2,43,hermes3,baseline,20260401_153541,1,1,S2,seller,ask,100,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B24,buyer,bid,10,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B10,buyer,bid,3,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B3,buyer,bid,15,17,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B14,buyer,bid,16,17,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B20,buyer,bid,10,15,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B8,buyer,bid,5,15,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B17,buyer,bid,8,13,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B21,buyer,bid,7,13,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B6,buyer,bid,5,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,S1,seller,ask,70,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,S3,seller,ask,40,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B19,buyer,bid,16,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B23,buyer,bid,9,15,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B15,buyer,bid,8,15,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B5,buyer,bid,3,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B22,buyer,bid,13,17,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B16,buyer,bid,15,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B9,buyer,bid,6,13,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B1,buyer,bid,20,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B12,buyer,bid,8,17,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,B2,buyer,bid,5,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,1,S4,seller,ask,40,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,2,B2,buyer,bid,6,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,2,S4,seller,ask,39,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,2,B15,buyer,bid,11,15,False,,,
2,43,hermes3,baseline,20260401_153541,1,2,B10,buyer,bid,5,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,2,B19,buyer,bid,20,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,2,B9,buyer,bid,7,13,False,,,
2,43,hermes3,baseline,20260401_153541,1,2,B5,buyer,bid,4,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B10,buyer,bid,6,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B24,buyer,bid,15,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B5,buyer,bid,5,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,S3,seller,ask,37,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B23,buyer,bid,10,15,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B9,buyer,bid,8,13,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B21,buyer,bid,9,13,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,S1,seller,ask,80,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B19,buyer,bid,20,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B15,buyer,bid,12,15,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B2,buyer,bid,7,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,3,B22,buyer,bid,12,17,False,,,
2,43,hermes3,baseline,20260401_153541,1,4,B6,buyer,bid,7,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,4,S4,seller,ask,38,12,False,,,
2,43,hermes3,baseline,20260401_153541,1,4,B19,buyer,bid,20,20,False,,,
2,43,hermes3,baseline,20260401_153541,1,4,B5,buyer,bid,6,8,False,,,
2,43,hermes3,baseline,20260401_153541,1,4,B2,buyer,bid,8,8,False,,,
