run_id,seed,model,persona,memory_type,temperature,risk_aversion,risk_aversion_level,aggressiveness,aggressiveness_level,profit_orientation,profit_orientation_level,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,S3,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B18,buyer,bid,14,17,True,13,S3,4
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B9,buyer,bid,13,13,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B16,buyer,bid,14,20,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B21,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B6,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B20,buyer,bid,16,17,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B11,buyer,bid,17,20,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B14,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,S2,seller,ask,13,12,True,17,B11,5
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,S4,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B23,buyer,bid,14,20,True,13,S4,7
1,42,gemma3-27b,baseline,baseline,0.7,very_averse,1,none,0,none,0,20260503_182325,1,1,B2,buyer,bid,14,17,False,,,
