run_id,seed,model,persona,memory_type,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,S4,seller,ask,13,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,B9,buyer,bid,14,17,True,13,S4,4
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,S2,seller,ask,13,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,B11,buyer,bid,14,20,True,13,S2,7
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,B14,buyer,bid,14,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,B22,buyer,bid,15,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,B2,buyer,bid,16,20,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,S3,seller,ask,15,12,True,16,B2,4
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,B15,buyer,bid,17,20,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,1,S1,seller,ask,16,12,True,17,B15,5
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,B21,buyer,bid,14,15,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,S4,seller,ask,12,12,True,14,B21,2
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,S2,seller,ask,12,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,B5,buyer,bid,12,13,True,12,S2,1
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,B12,buyer,bid,12,13,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,B16,buyer,bid,13,15,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,B18,buyer,bid,14,15,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,B17,buyer,bid,15,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,2,B24,buyer,bid,16,20,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,3,S4,seller,ask,13,12,True,16,B24,4
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,3,B14,buyer,bid,15,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,3,S1,seller,ask,15,12,True,15,B14,3
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,4,B6,buyer,bid,15,15,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,4,S2,seller,ask,15,12,True,15,B6,3
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,4,S4,seller,ask,15,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,5,B22,buyer,bid,16,17,True,15,S4,2
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,5,S4,seller,ask,14,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,5,B16,buyer,bid,14,15,True,14,S4,1
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,6,S4,seller,ask,13,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,6,B18,buyer,bid,14,15,True,13,S4,2
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,7,S4,seller,ask,12,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,7,B17,buyer,bid,13,17,True,12,S4,5
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,7,B12,buyer,bid,13,13,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,8,B1,buyer,bid,13,13,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,1,8,S1,seller,ask,13,12,True,13,B12,1
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B12,buyer,bid,14,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B13,buyer,bid,15,20,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,S3,seller,ask,14,12,True,15,B13,3
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,S1,seller,ask,15,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B19,buyer,bid,16,20,True,15,S1,5
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B6,buyer,bid,16,20,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B8,buyer,bid,16,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,S4,seller,ask,15,12,True,16,B6,4
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B11,buyer,bid,8,8,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,S2,seller,ask,15,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B7,buyer,bid,9,13,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,1,B17,buyer,bid,10,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,B9,buyer,bid,11,15,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,S2,seller,ask,13,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,S1,seller,ask,14,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,B1,buyer,bid,14,15,True,13,S2,2
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,B18,buyer,bid,7,8,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,B20,buyer,bid,8,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,B8,buyer,bid,9,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,2,B12,buyer,bid,15,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,3,S2,seller,ask,12,12,True,15,B12,3
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,3,S4,seller,ask,15,12,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,3,B16,buyer,bid,16,20,True,15,S4,5
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,3,B20,buyer,bid,9,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,3,B17,buyer,bid,11,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,3,B24,buyer,bid,12,13,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,4,B4,buyer,bid,14,15,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,4,B8,buyer,bid,15,17,False,,,
1,72,qwen2.5-coder-32B,baseline,refined,20260420_105700,2,4,S4,seller,ask,14,12,True,15,B8,3
