run_id,seed,model,persona,memory_type,risk_aversion,risk_aversion_level,aggressiveness,aggressiveness_level,profit_orientation,profit_orientation_level,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,S3,seller,ask,18,12,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B18,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B16,buyer,bid,18,20,True,18,S3,2
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B12,buyer,bid,12,13,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B21,buyer,bid,13,15,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B6,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B8,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B20,buyer,bid,16,17,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B11,buyer,bid,17,20,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,S2,seller,ask,18,12,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,S4,seller,ask,17,12,True,17,B11,5
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B3,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B1,buyer,bid,10,13,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B23,buyer,bid,19,20,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B7,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B10,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,B19,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,1,S1,seller,ask,20,12,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,S3,seller,ask,21,12,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,S2,seller,ask,19,12,True,19,B23,7
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B12,buyer,bid,13,13,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,S4,seller,ask,16,12,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,S1,seller,ask,18,12,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B14,buyer,bid,17,17,True,16,S4,1
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B22,buyer,bid,20,20,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B21,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B9,buyer,bid,12,13,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B1,buyer,bid,12,13,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B20,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B6,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,2,B3,buyer,bid,8,8,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B18,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B13,buyer,bid,0,0,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B2,buyer,bid,17,17,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,S3,seller,ask,19,12,True,20,B22,8
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B24,buyer,bid,0,0,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B1,buyer,bid,13,13,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B8,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,S1,seller,ask,17,12,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B4,buyer,bid,0,0,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,S4,seller,ask,15,12,True,15,B8,3
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B7,buyer,bid,8,8,False,,,
1,42,gemma3-27b,baseline,baseline,seeking,4,none,0,none,0,20260427_001106,1,3,B9,buyer,bid,9,13,False,,,
