run_id,seed,model,period,step,price,buyer_id,seller_id,buyer_valuation,seller_cost,buyer_profit,seller_profit
2,42,llama3.3,1,1,18,B7,S2,20,12,2,6
2,42,llama3.3,1,2,17,B2,S3,17,12,0,5
2,42,llama3.3,1,3,18,B1,S1,20,12,2,6
2,42,llama3.3,1,4,18,B19,S4,20,12,2,6
2,42,llama3.3,1,5,18,B13,S2,20,12,2,6
2,42,llama3.3,2,1,16,B2,S1,17,12,1,4
2,42,llama3.3,2,2,14,B3,S3,15,12,1,2
2,42,llama3.3,2,3,13,B9,S2,15,12,2,1
2,42,llama3.3,2,4,13,B20,S4,17,12,4,1
2,42,llama3.3,2,5,17,B19,S1,20,12,3,5
2,42,llama3.3,2,6,18,B1,S3,20,12,2,6
2,42,llama3.3,2,7,16,B8,S4,17,12,1,4
2,42,llama3.3,2,8,19,B13,S2,20,12,1,7
2,42,llama3.3,2,9,19,B7,S4,20,12,1,7
2,42,llama3.3,3,1,13,B8,S1,17,12,4,1
2,42,llama3.3,3,2,19,B1,S2,20,12,1,7
2,42,llama3.3,3,3,19,B19,S4,20,12,1,7
2,42,llama3.3,3,4,19,B13,S3,20,12,1,7
2,42,llama3.3,3,5,19,B7,S1,20,12,1,7
