run_id,seed,model,persona,memory_type,risk_aversion,aggressiveness,profit_orientation,timestamp,period,step,agent_id,agent_type,action,submitted_price,reservation_value,matched,trade_price,counterparty,profit
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,S3,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B18,buyer,bid,14,17,True,13,S3,4
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B9,buyer,bid,12,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B16,buyer,bid,13,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B21,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B6,buyer,bid,15,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B20,buyer,bid,16,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B11,buyer,bid,17,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,S2,seller,ask,13,12,True,17,B11,5
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,S4,seller,ask,14,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B3,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B1,buyer,bid,8,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B23,buyer,bid,18,20,True,14,S4,6
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B7,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B10,buyer,bid,8,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B2,buyer,bid,9,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,S1,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B22,buyer,bid,18,20,True,13,S1,7
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B5,buyer,bid,12,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,1,1,B15,buyer,bid,13,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B10,buyer,bid,10,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B9,buyer,bid,11,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B12,buyer,bid,12,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B20,buyer,bid,13,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B15,buyer,bid,14,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,S2,seller,ask,13,12,True,14,B15,2
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,S1,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,S4,seller,ask,12,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B7,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B1,buyer,bid,8,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B11,buyer,bid,13,13,True,12,S4,1
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B21,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B4,buyer,bid,8,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B14,buyer,bid,9,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B16,buyer,bid,10,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,S3,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B17,buyer,bid,11,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B23,buyer,bid,12,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B5,buyer,bid,13,17,True,13,S3,4
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B18,buyer,bid,15,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,2,1,B3,buyer,bid,16,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B4,buyer,bid,13,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B3,buyer,bid,14,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B6,buyer,bid,15,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B14,buyer,bid,16,20,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,S2,seller,ask,13,12,True,16,B14,4
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B7,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,S1,seller,ask,15,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B19,buyer,bid,8,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B5,buyer,bid,9,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B15,buyer,bid,17,20,True,15,S1,5
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,S3,seller,ask,14,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B16,buyer,bid,15,15,True,14,S3,1
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B10,buyer,bid,7,8,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B18,buyer,bid,8,13,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B17,buyer,bid,9,17,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B1,buyer,bid,10,15,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,S4,seller,ask,13,12,False,,,
1,42,gemma3-27b,baseline,baseline,none,none,none,20260426_215710,3,1,B24,buyer,bid,14,17,True,13,S4,4
